               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032055,           0.0099686,            0.023063,             0.59123,                   1,             0.74869,             0.49074,            0.017535,           0.0038241,            0.014462,           0.0082675,           0.0082675,           0.0082675
                  37,             0.03219,           0.0084046,            0.024295,             0.66437,             0.91667,             0.76923,             0.51567,            0.016038,           0.0037677,            0.011769,            0.008218,            0.008218,            0.008218
                  38,            0.030838,           0.0091256,            0.021938,             0.66663,             0.88919,             0.78407,             0.51005,            0.018037,           0.0037185,            0.014173,           0.0081685,           0.0081685,           0.0081685
                  39,            0.029825,           0.0096717,            0.022501,             0.58918,             0.87162,             0.76111,             0.53741,            0.016585,           0.0036721,            0.013055,            0.008119,            0.008119,            0.008119
                  40,            0.032697,           0.0099645,            0.022226,             0.70987,             0.92392,             0.76463,              0.5625,            0.015568,            0.003715,            0.011029,           0.0080695,           0.0080695,           0.0080695
                  41,            0.028122,           0.0092101,            0.019333,             0.71236,             0.93066,             0.74514,              0.4476,            0.018005,           0.0036506,             0.01056,             0.00802,             0.00802,             0.00802
                  42,            0.031055,           0.0098322,             0.02033,              0.6886,             0.97917,             0.84904,             0.59414,            0.016503,           0.0034787,           0.0085798,           0.0079705,           0.0079705,           0.0079705
                  43,            0.030244,           0.0093298,            0.020094,             0.66254,                   1,             0.85355,             0.53753,            0.021242,           0.0036922,           0.0096381,            0.007921,            0.007921,            0.007921
                  44,             0.03012,           0.0091312,             0.01691,              0.6499,             0.98958,             0.83555,             0.56671,            0.017967,           0.0035854,            0.010614,           0.0078715,           0.0078715,           0.0078715
                  45,            0.029748,           0.0093343,            0.018109,             0.60931,             0.91007,             0.84819,             0.59611,             0.01642,           0.0035806,            0.010073,            0.007822,            0.007822,            0.007822
                  46,            0.027022,           0.0095936,            0.023078,             0.64441,             0.88508,             0.84653,             0.59066,            0.017775,           0.0037078,           0.0080807,           0.0077725,           0.0077725,           0.0077725
                  47,            0.029398,           0.0097279,             0.02001,             0.68661,                   1,             0.83944,             0.64746,            0.014358,           0.0036261,           0.0073287,            0.007723,            0.007723,            0.007723
