               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034358,           0.0094539,            0.025412,             0.36458,                   1,             0.39743,             0.25334,            0.028934,           0.0053143,            0.050491,            0.008614,            0.008614,            0.008614
                  37,            0.034443,            0.010251,            0.023937,             0.46028,                   1,             0.46492,             0.29223,            0.026236,           0.0051845,            0.051266,           0.0085744,           0.0085744,           0.0085744
                  38,            0.036508,            0.010408,            0.024864,             0.46894,                   1,             0.53739,             0.35991,            0.025939,           0.0051697,            0.044016,           0.0085348,           0.0085348,           0.0085348
                  39,            0.033469,           0.0098545,            0.023536,             0.49111,                   1,             0.52487,             0.30618,             0.02792,           0.0051987,            0.042846,           0.0084952,           0.0084952,           0.0084952
                  40,            0.033471,            0.010153,             0.02305,             0.32424,             0.96875,             0.52093,             0.27147,            0.029455,           0.0054979,            0.040267,           0.0084556,           0.0084556,           0.0084556
                  41,            0.038331,           0.0096846,            0.022992,              0.4951,                   1,             0.57464,             0.30542,            0.025314,           0.0053797,            0.040547,            0.008416,            0.008416,            0.008416
                  42,            0.033335,           0.0098056,            0.019812,             0.49073,                   1,              0.5743,             0.29645,            0.025974,           0.0057174,            0.039785,           0.0083764,           0.0083764,           0.0083764
                  43,             0.03417,            0.010502,             0.02226,             0.51439,              0.8995,             0.63104,               0.385,            0.021081,           0.0052393,            0.033718,           0.0083368,           0.0083368,           0.0083368
                  44,            0.032407,            0.010223,             0.02248,              0.4726,                   1,             0.58411,             0.29645,            0.029181,           0.0054248,            0.043651,           0.0082972,           0.0082972,           0.0082972
                  45,            0.034556,            0.010111,            0.022081,             0.50088,             0.90909,             0.64901,             0.41532,            0.024182,           0.0050704,            0.037045,           0.0082576,           0.0082576,           0.0082576
                  46,            0.033631,           0.0093431,            0.021774,             0.58738,             0.99707,             0.69411,             0.50682,            0.022689,           0.0048765,            0.034265,            0.008218,            0.008218,            0.008218
                  47,            0.033859,           0.0099875,            0.021009,             0.56803,             0.83859,             0.69084,             0.42876,            0.024256,           0.0050602,            0.033804,           0.0081784,           0.0081784,           0.0081784
                  48,            0.033833,           0.0099583,            0.021738,             0.52391,                   1,             0.62285,             0.42979,            0.021401,           0.0052092,             0.03407,           0.0081388,           0.0081388,           0.0081388
                  49,            0.033745,           0.0099631,            0.019306,             0.48582,                   1,             0.58616,             0.39623,            0.026246,           0.0050354,            0.040566,           0.0080992,           0.0080992,           0.0080992
                  50,            0.033844,             0.01006,            0.018698,             0.48115,                   1,             0.61466,             0.41604,            0.023765,           0.0051397,            0.045646,           0.0080596,           0.0080596,           0.0080596
                  51,            0.031855,           0.0099044,            0.018785,             0.49014,             0.96309,             0.65515,             0.37505,            0.027831,           0.0056126,            0.040239,             0.00802,             0.00802,             0.00802
                  52,            0.031244,           0.0096717,            0.020235,              0.6242,             0.72443,             0.64954,             0.39923,            0.026549,           0.0051515,            0.051707,           0.0079804,           0.0079804,           0.0079804
                  53,             0.03441,            0.011204,            0.019726,              0.6567,              0.7017,             0.66462,             0.44638,            0.024558,           0.0052363,            0.047264,           0.0079408,           0.0079408,           0.0079408
                  54,            0.031547,            0.010118,            0.020326,             0.48895,             0.91926,              0.6168,             0.39939,            0.025609,           0.0053745,            0.048642,           0.0079012,           0.0079012,           0.0079012
                  55,            0.030559,           0.0097539,            0.018668,             0.50099,             0.99744,             0.59469,             0.38072,            0.024536,           0.0052697,            0.035445,           0.0078616,           0.0078616,           0.0078616
                  56,            0.031336,           0.0097711,            0.020173,             0.50105,             0.93182,               0.656,             0.45472,            0.024672,           0.0050083,            0.037294,            0.007822,            0.007822,            0.007822
                  57,            0.030628,           0.0098163,            0.019974,             0.61489,             0.76705,             0.69073,             0.47065,             0.02352,           0.0055185,            0.025385,           0.0077824,           0.0077824,           0.0077824
                  58,            0.031467,           0.0099368,            0.019441,             0.62751,             0.78664,             0.74511,             0.54004,            0.023324,           0.0051575,            0.043742,           0.0077428,           0.0077428,           0.0077428
                  59,            0.030172,             0.01043,            0.018036,             0.62495,             0.84611,             0.73981,              0.4967,            0.023577,           0.0048815,            0.032861,           0.0077032,           0.0077032,           0.0077032
                  60,            0.030731,           0.0092736,            0.019778,             0.68419,             0.83011,             0.78118,             0.58386,            0.021367,           0.0045678,            0.025041,           0.0076636,           0.0076636,           0.0076636
                  61,            0.029812,           0.0098668,            0.020343,             0.72431,              0.7949,             0.78409,             0.56964,            0.019536,           0.0046275,             0.02659,            0.007624,            0.007624,            0.007624
                  62,            0.029782,           0.0097513,            0.016619,             0.57287,             0.90909,             0.74978,             0.49662,            0.026395,           0.0049194,            0.039515,           0.0075844,           0.0075844,           0.0075844
                  63,            0.031548,           0.0095544,            0.016718,             0.69395,             0.76136,             0.78968,             0.56486,            0.021092,           0.0049417,            0.025415,           0.0075448,           0.0075448,           0.0075448
                  64,            0.030163,            0.010773,            0.017686,              0.5732,             0.78965,             0.73568,             0.49124,            0.020965,           0.0050356,            0.028688,           0.0075052,           0.0075052,           0.0075052
                  65,            0.030471,           0.0088117,            0.016975,             0.51392,                   1,             0.66013,             0.40724,            0.025936,           0.0048996,            0.034108,           0.0074656,           0.0074656,           0.0074656
                  66,            0.031462,           0.0094906,            0.017393,             0.52839,             0.95455,              0.6513,             0.42483,            0.021472,           0.0047894,            0.055075,            0.007426,            0.007426,            0.007426
                  67,            0.030024,           0.0096241,             0.01739,             0.59368,             0.87348,             0.70385,             0.43759,            0.025279,           0.0047661,            0.045752,           0.0073864,           0.0073864,           0.0073864
                  68,            0.033144,            0.010368,            0.016955,              0.6117,             0.88837,             0.73951,             0.53507,            0.019023,           0.0045713,            0.044339,           0.0073468,           0.0073468,           0.0073468
                  69,            0.029275,           0.0098658,             0.01771,             0.65561,             0.84091,             0.75566,             0.52614,             0.02124,            0.004794,            0.051399,           0.0073072,           0.0073072,           0.0073072
                  70,            0.031688,           0.0095194,            0.017385,             0.66188,             0.89194,               0.826,             0.61631,            0.019805,           0.0049443,            0.031982,           0.0072676,           0.0072676,           0.0072676
                  71,            0.030594,           0.0093539,            0.016275,             0.73132,             0.84375,             0.82327,             0.61478,            0.019192,            0.004493,            0.022555,            0.007228,            0.007228,            0.007228
                  72,             0.03137,           0.0099937,            0.017191,             0.71165,             0.85593,             0.81578,             0.59115,            0.021368,           0.0045444,            0.024879,           0.0071884,           0.0071884,           0.0071884
                  73,            0.029215,           0.0095654,             0.01547,             0.72377,             0.79745,             0.79827,             0.61988,            0.020593,           0.0044038,            0.024379,           0.0071488,           0.0071488,           0.0071488
                  74,            0.028922,           0.0097969,            0.019915,             0.70821,             0.85227,             0.81551,             0.62687,            0.019876,           0.0044041,            0.019954,           0.0071092,           0.0071092,           0.0071092
                  75,            0.028881,           0.0099414,            0.014477,             0.80292,             0.82386,             0.80324,             0.56005,            0.021628,           0.0042749,            0.019243,           0.0070696,           0.0070696,           0.0070696
                  76,            0.029335,           0.0096825,            0.015327,               0.798,             0.82386,             0.81743,              0.6226,            0.018756,           0.0041877,            0.017817,             0.00703,             0.00703,             0.00703
                  77,            0.027807,           0.0084768,            0.016825,             0.76615,             0.78409,             0.78465,             0.58652,            0.020953,           0.0044378,             0.01888,           0.0069904,           0.0069904,           0.0069904
                  78,            0.029261,            0.010203,            0.014512,             0.67351,             0.83024,             0.73552,             0.55628,              0.0187,           0.0043658,            0.024939,           0.0069508,           0.0069508,           0.0069508
                  79,            0.027462,           0.0089297,            0.014261,             0.61263,             0.83807,             0.70867,             0.52302,            0.017573,           0.0044475,            0.033049,           0.0069112,           0.0069112,           0.0069112
                  80,             0.02714,            0.008812,            0.013521,              0.5949,              0.9079,              0.7782,             0.56494,            0.019366,           0.0044401,            0.024971,           0.0068716,           0.0068716,           0.0068716
                  81,            0.028284,           0.0097482,            0.016385,             0.71937,             0.90625,             0.89416,             0.65167,            0.019625,           0.0045708,            0.018208,            0.006832,            0.006832,            0.006832
                  82,            0.029234,           0.0095373,            0.016203,             0.82127,             0.88352,             0.90855,             0.67901,            0.018017,           0.0043966,            0.014459,           0.0067924,           0.0067924,           0.0067924
                  83,            0.027071,           0.0089961,             0.01824,             0.86239,              0.8759,             0.92578,             0.69656,            0.018503,           0.0045975,            0.013987,           0.0067528,           0.0067528,           0.0067528
                  84,            0.025944,           0.0093812,            0.014167,             0.80321,               0.875,             0.90601,             0.70544,            0.017524,           0.0042831,            0.016072,           0.0067132,           0.0067132,           0.0067132
                  85,            0.028323,           0.0096629,            0.013116,             0.60276,             0.93469,             0.78616,             0.62729,            0.018256,            0.004321,            0.025565,           0.0066736,           0.0066736,           0.0066736
                  86,             0.02765,           0.0097216,            0.016076,             0.66023,             0.93155,             0.81284,             0.64135,             0.01859,           0.0045131,            0.030113,            0.006634,            0.006634,            0.006634
                  87,             0.02653,           0.0084495,            0.014807,              0.6157,             0.98551,              0.8471,             0.64845,            0.017918,           0.0045414,             0.04442,           0.0065944,           0.0065944,           0.0065944
                  88,            0.026446,           0.0089722,             0.01288,             0.67227,             0.87784,             0.89029,             0.68295,            0.016787,           0.0046658,            0.041125,           0.0065548,           0.0065548,           0.0065548
                  89,            0.026214,           0.0097095,            0.012219,             0.79895,             0.87709,             0.89035,             0.67608,            0.017955,           0.0045259,            0.027475,           0.0065152,           0.0065152,           0.0065152
                  90,            0.026804,           0.0093046,            0.014123,             0.81984,             0.90342,             0.89094,             0.68405,            0.018745,           0.0045976,            0.016004,           0.0064756,           0.0064756,           0.0064756
                  91,            0.027555,           0.0088659,            0.011072,             0.79844,             0.90944,             0.91245,             0.70601,            0.016697,           0.0045575,            0.013867,            0.006436,            0.006436,            0.006436
                  92,            0.027035,           0.0090382,            0.012624,             0.73614,              0.9233,             0.90582,             0.68833,            0.016903,           0.0043288,            0.015766,           0.0063964,           0.0063964,           0.0063964
                  93,            0.027723,           0.0087484,             0.01223,             0.77523,             0.86935,             0.89775,             0.71242,            0.015309,           0.0043641,            0.025648,           0.0063568,           0.0063568,           0.0063568
                  94,            0.026101,           0.0093811,            0.014247,             0.68269,             0.91929,             0.89132,             0.70595,            0.016024,           0.0044048,            0.035138,           0.0063172,           0.0063172,           0.0063172
                  95,            0.027333,           0.0097384,            0.013117,             0.83164,             0.90057,              0.9418,              0.7903,            0.015041,           0.0040859,            0.012848,           0.0062776,           0.0062776,           0.0062776
                  96,            0.026619,           0.0094551,            0.012507,             0.88399,             0.86364,             0.95594,             0.71752,            0.018238,            0.004324,            0.014257,            0.006238,            0.006238,            0.006238
                  97,            0.027285,           0.0087984,              0.0119,             0.72582,             0.88594,             0.92154,             0.68197,             0.02078,           0.0043406,            0.018533,           0.0061984,           0.0061984,           0.0061984
                  98,            0.027334,           0.0087198,            0.014771,             0.74913,             0.96459,             0.89974,             0.72633,            0.018517,           0.0043234,            0.013201,           0.0061588,           0.0061588,           0.0061588
                  99,            0.026058,           0.0088777,            0.011852,             0.85035,             0.85103,             0.89407,             0.67443,            0.021448,           0.0043758,            0.014737,           0.0061192,           0.0061192,           0.0061192
                 100,            0.026635,           0.0093288,            0.015359,             0.73953,              0.9375,             0.88136,             0.68392,            0.018104,           0.0043855,            0.014781,           0.0060796,           0.0060796,           0.0060796
                 101,            0.025751,           0.0094068,            0.013096,             0.75249,              0.9375,             0.90805,             0.71861,            0.018074,           0.0043479,            0.013301,             0.00604,             0.00604,             0.00604
                 102,              0.0272,             0.00858,            0.014012,             0.80753,             0.88736,              0.9243,             0.72147,            0.019178,           0.0043654,            0.012692,           0.0060004,           0.0060004,           0.0060004
                 103,            0.027005,            0.009358,            0.015706,             0.69811,               0.962,             0.91645,             0.74262,            0.016691,           0.0042245,            0.021078,           0.0059608,           0.0059608,           0.0059608
                 104,            0.026317,           0.0089196,            0.012556,              0.8148,             0.92848,             0.94089,             0.75942,            0.015713,           0.0041423,            0.017083,           0.0059212,           0.0059212,           0.0059212
                 105,            0.025364,           0.0090202,            0.012022,             0.78601,             0.97972,             0.94211,             0.67035,            0.020108,           0.0042962,            0.014303,           0.0058816,           0.0058816,           0.0058816
                 106,            0.025688,           0.0093108,             0.01157,             0.78242,             0.97741,             0.94382,             0.74465,            0.018579,           0.0040908,            0.012088,            0.005842,            0.005842,            0.005842
                 107,            0.027258,           0.0094757,            0.013118,             0.76833,             0.97843,             0.94062,             0.73261,            0.016936,           0.0040429,            0.012243,           0.0058024,           0.0058024,           0.0058024
                 108,             0.02705,           0.0086737,            0.011117,              0.7577,             0.99178,             0.94194,             0.77623,            0.016275,           0.0040071,            0.012823,           0.0057628,           0.0057628,           0.0057628
                 109,            0.025041,           0.0088692,            0.012459,             0.79974,              0.9375,             0.94802,             0.73963,            0.016645,           0.0040353,             0.01194,           0.0057232,           0.0057232,           0.0057232
                 110,            0.027746,           0.0091412,            0.013062,             0.81605,             0.94051,             0.93655,             0.67734,            0.021109,           0.0043907,            0.011573,           0.0056836,           0.0056836,           0.0056836
                 111,            0.026365,           0.0092253,             0.01228,             0.84857,             0.87185,             0.90566,             0.70233,            0.016703,            0.004197,            0.012561,            0.005644,            0.005644,            0.005644
                 112,            0.026317,           0.0089139,            0.012352,             0.78362,             0.89879,             0.88002,             0.69304,            0.018146,           0.0044915,            0.014694,           0.0056044,           0.0056044,           0.0056044
                 113,            0.027518,           0.0095313,            0.012968,             0.79039,             0.93367,             0.90196,             0.71437,              0.0176,            0.004343,            0.013235,           0.0055648,           0.0055648,           0.0055648
                 114,            0.024566,           0.0092435,            0.010746,             0.87049,             0.86932,             0.93962,             0.72793,            0.017786,           0.0042498,             0.01178,           0.0055252,           0.0055252,           0.0055252
                 115,            0.024864,           0.0091589,            0.012483,             0.85072,             0.86932,             0.94783,             0.77742,            0.015892,           0.0042493,            0.011565,           0.0054856,           0.0054856,           0.0054856
                 116,            0.025438,           0.0086492,            0.010016,             0.87831,             0.89205,             0.95366,             0.78002,            0.016092,           0.0041477,           0.0094528,            0.005446,            0.005446,            0.005446
                 117,            0.024751,           0.0087476,           0.0098027,             0.88616,             0.88352,              0.9512,             0.80731,            0.016875,           0.0041529,           0.0087705,           0.0054064,           0.0054064,           0.0054064
                 118,            0.025842,             0.00881,            0.011022,             0.79936,             0.96224,              0.9534,             0.75676,            0.017153,             0.00413,           0.0095348,           0.0053668,           0.0053668,           0.0053668
                 119,            0.024842,           0.0083835,            0.010715,             0.76514,             0.97727,             0.94377,              0.7375,            0.017287,            0.004054,            0.010043,           0.0053272,           0.0053272,           0.0053272
                 120,            0.024326,           0.0093256,            0.010137,             0.84745,             0.96618,             0.96444,             0.76921,            0.016822,           0.0041224,           0.0075515,           0.0052876,           0.0052876,           0.0052876
                 121,            0.025952,           0.0090281,            0.009137,             0.88844,             0.99279,             0.98252,             0.78192,            0.018493,           0.0041235,           0.0057727,            0.005248,            0.005248,            0.005248
                 122,            0.025444,           0.0093007,            0.010664,             0.86615,              0.9957,             0.98541,             0.80031,            0.018516,           0.0042444,           0.0064857,           0.0052084,           0.0052084,           0.0052084
                 123,            0.025493,           0.0088845,            0.010123,             0.89586,             0.99502,             0.98367,             0.78298,            0.017552,           0.0042637,           0.0056795,           0.0051688,           0.0051688,           0.0051688
                 124,            0.025104,           0.0089881,           0.0093819,             0.89438,             0.98877,             0.98162,             0.80403,            0.015936,            0.004122,            0.006129,           0.0051292,           0.0051292,           0.0051292
                 125,            0.024224,           0.0083541,             0.01004,             0.91362,                   1,              0.9898,             0.77246,              0.0178,           0.0040027,           0.0056648,           0.0050896,           0.0050896,           0.0050896
                 126,            0.024447,           0.0089367,           0.0096949,             0.92156,             0.99607,              0.9898,             0.77027,            0.017541,           0.0039464,           0.0049187,             0.00505,             0.00505,             0.00505
                 127,            0.023847,           0.0089287,           0.0098786,             0.95625,             0.92894,             0.98746,             0.78832,            0.017322,           0.0040788,           0.0059098,           0.0050104,           0.0050104,           0.0050104
                 128,            0.024984,            0.008585,           0.0098704,             0.78848,                   1,             0.98113,              0.8033,            0.016999,           0.0041473,           0.0093991,           0.0049708,           0.0049708,           0.0049708
                 129,             0.02407,           0.0080398,           0.0091403,             0.81908,                   1,             0.98167,             0.78232,            0.017582,           0.0041399,           0.0077043,           0.0049312,           0.0049312,           0.0049312
                 130,            0.024028,           0.0084106,            0.013049,             0.86734,             0.92643,              0.9643,              0.7782,            0.017621,           0.0041292,           0.0087754,           0.0048916,           0.0048916,           0.0048916
                 131,            0.024814,           0.0085201,            0.010293,             0.86217,             0.99101,             0.97875,             0.78506,            0.017161,           0.0041016,           0.0069921,            0.004852,            0.004852,            0.004852
                 132,            0.025937,           0.0089926,            0.010283,             0.81728,                   1,             0.97452,             0.79635,            0.017668,           0.0043339,           0.0078997,           0.0048124,           0.0048124,           0.0048124
                 133,            0.025751,           0.0088328,             0.01122,             0.84232,             0.96875,              0.9772,             0.74876,            0.016362,            0.004527,           0.0082172,           0.0047728,           0.0047728,           0.0047728
                 134,             0.02303,           0.0083816,           0.0087892,             0.86162,             0.99349,             0.98048,             0.75797,            0.016421,           0.0044086,           0.0078961,           0.0047332,           0.0047332,           0.0047332
                 135,            0.023951,           0.0083618,           0.0098089,              0.8828,             0.99261,             0.98343,             0.74378,            0.017994,           0.0045194,           0.0077676,           0.0046936,           0.0046936,           0.0046936
                 136,            0.024815,           0.0083171,           0.0083044,              0.8832,             0.99007,             0.98343,             0.78013,            0.017218,           0.0045835,           0.0083235,            0.004654,            0.004654,            0.004654
                 137,            0.022972,           0.0088942,            0.010091,             0.86479,             0.99459,             0.97324,             0.81012,            0.015787,           0.0041912,           0.0098276,           0.0046144,           0.0046144,           0.0046144
                 138,            0.022791,           0.0084029,            0.011127,              0.8639,                   1,             0.98457,             0.79005,            0.016182,           0.0041842,           0.0069015,           0.0045748,           0.0045748,           0.0045748
                 139,            0.022346,           0.0080955,           0.0094764,             0.87655,             0.99906,             0.98457,              0.8249,            0.014673,           0.0040529,           0.0069484,           0.0045352,           0.0045352,           0.0045352
                 140,             0.02345,            0.008903,           0.0087251,             0.90007,             0.95787,             0.98457,             0.78812,            0.014907,            0.003999,            0.007103,           0.0044956,           0.0044956,           0.0044956
                 141,             0.02183,           0.0082398,             0.00889,             0.92016,             0.94516,             0.96561,             0.80273,            0.014091,           0.0038629,           0.0092058,            0.004456,            0.004456,            0.004456
                 142,            0.023303,           0.0088331,            0.011503,              0.8723,             0.96648,             0.96212,             0.82311,            0.013244,           0.0038602,           0.0084006,           0.0044164,           0.0044164,           0.0044164
                 143,             0.02209,           0.0085778,           0.0091923,             0.93603,             0.93458,              0.9856,             0.80464,            0.015576,           0.0041493,           0.0063441,           0.0043768,           0.0043768,           0.0043768
                 144,            0.023965,           0.0088144,           0.0091587,             0.92096,             0.93073,             0.98049,             0.81564,            0.014519,           0.0041051,           0.0073968,           0.0043372,           0.0043372,           0.0043372
                 145,             0.02233,             0.00834,           0.0092236,             0.87832,             0.98942,             0.97514,              0.7568,            0.014933,            0.004032,           0.0076914,           0.0042976,           0.0042976,           0.0042976
                 146,            0.022144,           0.0082633,            0.008616,             0.89543,             0.99386,             0.98208,             0.82431,            0.014644,           0.0040116,           0.0076595,            0.004258,            0.004258,            0.004258
                 147,             0.02316,           0.0086441,           0.0091734,             0.88567,              0.9956,             0.97912,             0.82879,            0.015738,           0.0039384,           0.0077798,           0.0042184,           0.0042184,           0.0042184
                 148,            0.022354,            0.007725,           0.0080984,             0.93361,             0.90326,             0.96731,             0.79556,            0.016416,           0.0039101,           0.0089941,           0.0041788,           0.0041788,           0.0041788
                 149,            0.022383,           0.0089887,           0.0091699,             0.93451,             0.90625,             0.97648,             0.80124,            0.018187,           0.0039341,           0.0091109,           0.0041392,           0.0041392,           0.0041392
                 150,            0.023277,           0.0083255,           0.0077559,             0.93487,             0.93648,             0.98892,             0.83821,            0.015808,           0.0038291,           0.0072665,           0.0040996,           0.0040996,           0.0040996
                 151,            0.022657,           0.0087545,            0.007916,               0.923,              0.9329,             0.98672,             0.78771,            0.015424,             0.00398,           0.0080619,             0.00406,             0.00406,             0.00406
                 152,            0.022231,           0.0084496,            0.008076,             0.89692,              0.9375,             0.98793,               0.791,            0.015607,           0.0041596,           0.0078751,           0.0040204,           0.0040204,           0.0040204
                 153,            0.023232,           0.0090377,           0.0072554,             0.83919,             0.96984,             0.96389,             0.78766,             0.01659,           0.0041312,           0.0084704,           0.0039808,           0.0039808,           0.0039808
                 154,            0.021694,           0.0081754,           0.0082602,             0.84815,             0.94722,             0.94833,             0.80821,            0.014222,           0.0037155,           0.0085893,           0.0039412,           0.0039412,           0.0039412
                 155,            0.021415,           0.0085879,            0.011101,             0.90056,                   1,               0.995,             0.85091,            0.013707,           0.0036547,           0.0049037,           0.0039016,           0.0039016,           0.0039016
                 156,            0.021859,           0.0087556,           0.0095588,             0.99052,                   1,               0.995,             0.83876,            0.013772,           0.0038055,           0.0026333,            0.003862,            0.003862,            0.003862
                 157,            0.021735,           0.0081375,           0.0078471,             0.99354,             0.99463,               0.995,             0.82605,            0.014621,           0.0040006,           0.0028845,           0.0038224,           0.0038224,           0.0038224
                 158,            0.023192,           0.0083811,           0.0078619,              0.9913,             0.95966,             0.99324,             0.81648,            0.014551,            0.004143,           0.0038709,           0.0037828,           0.0037828,           0.0037828
                 159,            0.023023,            0.007864,           0.0095129,             0.92255,             0.99446,              0.9906,             0.83982,            0.014162,           0.0039898,           0.0047572,           0.0037432,           0.0037432,           0.0037432
