               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11352,            0.014683,            0.077068,           0.0077053,             0.44505,           0.0099969,           0.0018439,            0.072421,             0.01075,            0.046491,              0.0964,              0.0004,              0.0004
                   1,             0.10642,            0.016916,            0.074462,           0.0079819,             0.51648,           0.0095809,           0.0018448,             0.06685,            0.011926,            0.045529,            0.091891,          0.00089109,          0.00089109
                   2,            0.091774,            0.019714,            0.069028,           0.0079224,             0.55495,            0.010289,            0.002344,            0.059446,            0.013418,            0.043956,            0.087372,           0.0013723,           0.0013723
                   3,             0.08565,               0.021,            0.064307,           0.0091308,              0.7033,            0.012942,           0.0037597,            0.054519,            0.014408,            0.042474,            0.082844,           0.0018436,           0.0018436
                   4,            0.079528,            0.024791,            0.059332,           0.0097586,             0.92308,            0.022443,           0.0071015,            0.049168,            0.015173,            0.039763,            0.078305,            0.002305,            0.002305
                   5,            0.074305,             0.02498,            0.052845,           0.0094631,                   1,            0.047761,            0.011276,            0.045727,            0.015297,            0.036791,            0.073756,           0.0027564,           0.0027564
                   6,            0.070527,            0.024131,            0.045639,           0.0085002,                   1,              0.1468,            0.044622,            0.042155,            0.014482,            0.031462,            0.069198,            0.003198,            0.003198
                   7,            0.068786,            0.022718,            0.041641,            0.030058,             0.78022,            0.040879,            0.014084,            0.050622,            0.012625,            0.029202,             0.06463,           0.0036297,           0.0036297
                   8,             0.06847,            0.022219,            0.037672,            0.071216,             0.75528,            0.096764,             0.03116,            0.046238,            0.013261,            0.027567,            0.060052,           0.0040515,           0.0040515
                   9,            0.065874,            0.019354,            0.034736,            0.089667,             0.34066,             0.11268,            0.045352,            0.048262,            0.013485,            0.027492,            0.055463,           0.0044634,           0.0044634
