               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037935,            0.012513,            0.017643,             0.53926,             0.89226,             0.75177,             0.44159,            0.031226,           0.0051727,           0.0080553,           0.0082675,           0.0082675,           0.0082675
                  37,            0.042915,            0.013687,            0.015889,             0.66859,             0.84239,             0.84221,              0.5298,            0.023847,           0.0051427,           0.0070391,            0.008218,            0.008218,            0.008218
                  38,            0.045559,            0.015507,            0.019195,             0.73671,             0.81428,             0.87797,             0.58512,            0.022104,           0.0050757,           0.0070398,           0.0081685,           0.0081685,           0.0081685
                  39,            0.039906,            0.013291,             0.01585,              0.6108,              0.9125,             0.79349,             0.54228,            0.022702,            0.004986,           0.0059114,            0.008119,            0.008119,            0.008119
                  40,            0.041974,            0.013766,            0.015774,             0.76436,             0.89377,             0.82424,             0.56124,            0.020224,           0.0050097,           0.0054934,           0.0080695,           0.0080695,           0.0080695
                  41,            0.040625,            0.015939,            0.019047,             0.64373,             0.85154,             0.73203,             0.45216,            0.023434,           0.0053846,           0.0098075,             0.00802,             0.00802,             0.00802
                  42,            0.042669,            0.013399,            0.016075,             0.80247,             0.78023,             0.86484,             0.46419,            0.023297,           0.0054101,            0.012585,           0.0079705,           0.0079705,           0.0079705
                  43,            0.039196,             0.01334,            0.012877,              0.5916,             0.66773,             0.63554,             0.42154,             0.02284,           0.0050214,            0.013474,            0.007921,            0.007921,            0.007921
                  44,            0.042075,            0.014821,            0.013194,             0.91969,             0.88727,             0.96815,             0.63694,            0.018868,           0.0049982,           0.0088028,           0.0078715,           0.0078715,           0.0078715
                  45,            0.037979,            0.015356,            0.017088,             0.87264,             0.85403,             0.86831,             0.51054,            0.022836,            0.004784,           0.0065591,            0.007822,            0.007822,            0.007822
                  46,            0.041713,            0.014508,            0.015296,             0.90713,             0.90218,             0.96542,             0.62937,            0.017345,           0.0048185,           0.0058866,           0.0077725,           0.0077725,           0.0077725
                  47,             0.03714,              0.0132,            0.016228,             0.95488,             0.96251,             0.99064,             0.66043,            0.018224,            0.004532,           0.0038409,            0.007723,            0.007723,            0.007723
